datetime,vendor_id,vendor_name,latitude,longitude,location_type,cuisine_type,avg_price,menu_diversity,hour_of_day,day_of_week,is_weekend,is_holiday,festival_name,is_festival,temperature_c,rainfall_mm,is_rainy,humidity_pct,wind_speed_kmh,event_nearby,traffic_density,competitor_count,units_sold,lag_1h_units,lag_24h_units,rolling_avg_24h,special_note
2025-07-01 00:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,0,1,0,0,,0,24.7,0.0,0,93.7,22.7,1,high,4,7,,,,
2025-07-01 01:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,1,1,0,0,,0,24.9,0.0,0,65.8,18.5,1,high,5,6,7.0,,,
2025-07-01 02:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,2,1,0,0,,0,25.3,0.0,0,64.6,5.8,0,low,7,2,6.0,,,
2025-07-01 03:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,3,1,0,0,,0,25.3,1.04,1,95.0,12.7,0,low,5,1,2.0,,,
2025-07-01 04:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,4,1,0,0,,0,28.0,0.0,0,95.0,5.0,0,low,5,2,1.0,,,
2025-07-01 05:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,5,1,0,0,,0,26.2,7.96,1,95.0,16.7,0,low,7,2,2.0,,,
2025-07-01 06:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,6,1,0,0,,0,26.8,1.99,1,83.2,11.6,0,low,6,7,2.0,,,
2025-07-01 07:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,7,1,0,0,,0,28.1,7.17,1,87.4,8.8,0,low,7,7,7.0,,,
2025-07-01 08:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,8,1,0,0,,0,29.7,3.73,1,87.7,13.6,0,high,4,12,7.0,,,
2025-07-01 09:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,9,1,0,0,,0,29.4,6.83,1,94.1,17.9,0,high,6,15,12.0,,,
2025-07-01 10:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,10,1,0,0,,0,28.3,1.78,1,92.0,9.1,0,low,6,8,15.0,,,
2025-07-01 11:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,11,1,0,0,,0,30.3,2.07,1,95.0,14.9,1,high,7,34,8.0,,,
2025-07-01 12:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,12,1,0,0,,0,29.3,8.25,1,95.0,31.3,0,low,5,15,34.0,,8.583333333333334,
2025-07-01 13:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,13,1,0,0,,0,30.4,1.52,1,92.5,15.0,0,low,6,23,15.0,,9.076923076923077,
2025-07-01 14:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,14,1,0,0,,0,29.8,2.27,1,95.0,22.2,0,low,8,12,23.0,,10.071428571428571,
2025-07-01 15:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,15,1,0,0,,0,28.9,8.18,1,94.2,42.2,0,low,8,5,12.0,,10.2,
2025-07-01 16:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,16,1,0,0,,0,29.4,5.0,1,89.4,24.6,1,high,6,24,5.0,,9.875,
2025-07-01 17:00:00+0530,vendor_01,BKC_Pavbhaji,19.0685,72.8785,business_district,main_course,85.0,12,17,1,0,0,,0,27.7,0.0,0,91.1,25.0,0,low,6,9,24.0,,10.705882352941176,
